,index,TimeFrame,Location Id,Dwelling Type,Number Of Beds,Median Rent,Total Bonds
305,2761,2026-04-01,138300,ALL,ALL,700.0,21
306,2762,2026-04-01,138400,ALL,ALL,610.0,45
307,2763,2026-04-01,138500,ALL,ALL,640.0,63
308,2764,2026-04-01,138600,ALL,ALL,675.0,18
309,2765,2026-04-01,138700,ALL,ALL,685.0,30
310,2766,2026-04-01,138900,ALL,ALL,685.0,36
311,2767,2026-04-01,139000,ALL,ALL,670.0,33
312,2768,2026-04-01,139100,ALL,ALL,655.0,6
313,2769,2026-04-01,139200,ALL,ALL,893.0,12
314,2770,2026-04-01,139300,ALL,ALL,663.0,12
315,2771,2026-04-01,139400,ALL,ALL,850.0,27
316,2772,2026-04-01,139500,ALL,ALL,655.0,18
317,2773,2026-04-01,139600,ALL,ALL,660.0,15
318,2774,2026-04-01,139700,ALL,ALL,650.0,21
319,2775,2026-04-01,139800,ALL,ALL,700.0,39
320,2776,2026-04-01,139900,ALL,ALL,833.0,24
321,2777,2026-04-01,140000,ALL,ALL,975.0,21
322,2778,2026-04-01,140100,ALL,ALL,1000.0,6
323,2779,2026-04-01,140200,ALL,ALL,753.0,30
324,2780,2026-04-01,140300,ALL,ALL,653.0,24
325,2781,2026-04-01,140400,ALL,ALL,730.0,12
326,2782,2026-04-01,140500,ALL,ALL,855.0,24
327,2783,2026-04-01,140600,ALL,ALL,765.0,12
328,2784,2026-04-01,140700,ALL,ALL,750.0,18
329,2785,2026-04-01,140800,ALL,ALL,980.0,24
330,2786,2026-04-01,140900,ALL,ALL,600.0,42
331,2787,2026-04-01,141000,ALL,ALL,750.0,30
332,2788,2026-04-01,141100,ALL,ALL,790.0,48
333,2789,2026-04-01,141200,ALL,ALL,600.0,27
334,2790,2026-04-01,141300,ALL,ALL,825.0,18
335,2791,2026-04-01,141500,ALL,ALL,795.0,24
336,2792,2026-04-01,141600,ALL,ALL,770.0,21
337,2793,2026-04-01,141700,ALL,ALL,925.0,15
338,2794,2026-04-01,141800,ALL,ALL,925.0,24
339,2795,2026-04-01,141900,ALL,ALL,785.0,12
340,2796,2026-04-01,142000,ALL,ALL,685.0,30
341,2797,2026-04-01,142100,ALL,ALL,690.0,24
342,2798,2026-04-01,142200,ALL,ALL,760.0,33
343,2799,2026-04-01,142300,ALL,ALL,675.0,15
344,2800,2026-04-01,142400,ALL,ALL,850.0,15
345,2801,2026-04-01,142500,ALL,ALL,775.0,15
346,2802,2026-04-01,142600,ALL,ALL,728.0,30
347,2803,2026-04-01,142700,ALL,ALL,950.0,18
348,2804,2026-04-01,142800,ALL,ALL,740.0,36
349,2805,2026-04-01,142900,ALL,ALL,735.0,18
350,2806,2026-04-01,143000,ALL,ALL,880.0,30
351,2807,2026-04-01,143100,ALL,ALL,800.0,33
352,2808,2026-04-01,143200,ALL,ALL,600.0,24
353,2809,2026-04-01,143300,ALL,ALL,650.0,33
354,2810,2026-04-01,143400,ALL,ALL,600.0,39
355,2811,2026-04-01,143500,ALL,ALL,850.0,24
356,2812,2026-04-01,143600,ALL,ALL,795.0,15
357,2813,2026-04-01,143700,ALL,ALL,1125.0,12
358,2814,2026-04-01,143800,ALL,ALL,820.0,30
359,2815,2026-04-01,143900,ALL,ALL,910.0,24
360,2816,2026-04-01,144000,ALL,ALL,1100.0,15
361,2817,2026-04-01,144100,ALL,ALL,630.0,33
362,2818,2026-04-01,144200,ALL,ALL,545.0,36
363,2819,2026-04-01,144300,ALL,ALL,598.0,30
364,2820,2026-04-01,144400,ALL,ALL,655.0,30
365,2821,2026-04-01,144500,ALL,ALL,575.0,33
366,2822,2026-04-01,144600,ALL,ALL,720.0,12
367,2823,2026-04-01,144700,ALL,ALL,720.0,54
368,2824,2026-04-01,144800,ALL,ALL,688.0,30
369,2825,2026-04-01,144900,ALL,ALL,950.0,9
370,2826,2026-04-01,145000,ALL,ALL,560.0,57
371,2827,2026-04-01,145100,ALL,ALL,800.0,24
372,2828,2026-04-01,145200,ALL,ALL,670.0,18
373,2829,2026-04-01,145300,ALL,ALL,630.0,30
374,2830,2026-04-01,145400,ALL,ALL,420.0,12
375,2831,2026-04-01,145500,ALL,ALL,650.0,27
376,2832,2026-04-01,145600,ALL,ALL,650.0,24
377,2833,2026-04-01,145700,ALL,ALL,875.0,15
378,2834,2026-04-01,145800,ALL,ALL,650.0,21
379,2835,2026-04-01,145900,ALL,ALL,565.0,6
380,2836,2026-04-01,146000,ALL,ALL,600.0,24
381,2837,2026-04-01,146100,ALL,ALL,628.0,18
382,2838,2026-04-01,146200,ALL,ALL,593.0,36
383,2839,2026-04-01,146300,ALL,ALL,565.0,63
384,2840,2026-04-01,146400,ALL,ALL,960.0,15
385,2841,2026-04-01,146500,ALL,ALL,600.0,18
386,2842,2026-04-01,146600,ALL,ALL,708.0,33
387,2843,2026-04-01,146700,ALL,ALL,610.0,93
388,2844,2026-04-01,146800,ALL,ALL,710.0,12
389,2845,2026-04-01,146900,ALL,ALL,750.0,15
390,2846,2026-04-01,147000,ALL,ALL,620.0,45
391,2847,2026-04-01,147100,ALL,ALL,550.0,27
392,2848,2026-04-01,147200,ALL,ALL,710.0,72
393,2849,2026-04-01,147500,ALL,ALL,650.0,51
394,2850,2026-04-01,147600,ALL,ALL,840.0,24
395,2851,2026-04-01,147800,ALL,ALL,655.0,12
396,2852,2026-04-01,147900,ALL,ALL,455.0,6
397,2853,2026-04-01,148000,ALL,ALL,740.0,15
398,2854,2026-04-01,148100,ALL,ALL,700.0,12
399,2855,2026-04-01,148200,ALL,ALL,690.0,9
400,2856,2026-04-01,148300,ALL,ALL,870.0,9
401,2857,2026-04-01,148400,ALL,ALL,770.0,15
402,2858,2026-04-01,148500,ALL,ALL,595.0,36
403,2859,2026-04-01,148600,ALL,ALL,570.0,21
404,2860,2026-04-01,148700,ALL,ALL,650.0,15
405,2861,2026-04-01,148800,ALL,ALL,895.0,12
406,2862,2026-04-01,148900,ALL,ALL,620.0,15
407,2863,2026-04-01,149000,ALL,ALL,620.0,39
408,2864,2026-04-01,149100,ALL,ALL,660.0,45
409,2865,2026-04-01,149200,ALL,ALL,655.0,12
410,2866,2026-04-01,149300,ALL,ALL,673.0,30
411,2867,2026-04-01,149400,ALL,ALL,685.0,6
412,2868,2026-04-01,149500,ALL,ALL,645.0,24
413,2869,2026-04-01,149700,ALL,ALL,728.0,45
414,2870,2026-04-01,149800,ALL,ALL,675.0,48
415,2871,2026-04-01,149900,ALL,ALL,560.0,12
416,2872,2026-04-01,150000,ALL,ALL,695.0,9
417,2873,2026-04-01,150100,ALL,ALL,400.0,30
418,2874,2026-04-01,150200,ALL,ALL,665.0,6
419,2875,2026-04-01,150300,ALL,ALL,475.0,39
420,2876,2026-04-01,150400,ALL,ALL,750.0,30
421,2877,2026-04-01,150500,ALL,ALL,690.0,21
422,2878,2026-04-01,150600,ALL,ALL,850.0,15
